creado,seller_id,seller,node_id,fecha_envio,estado,number,units,fecha_ini,fecha_fin
2026-09-02T09:15:00,DEMO001,Seller Demo Norte,9006,2026-09-14,AGENDA CYBER,DEMO-9006-001,3250,2026-09-14,2026-09-18
2026-09-02T09:30:00,DEMO002,Seller Demo Centro,9006,2026-09-15,AGENDA CYBER,DEMO-9006-002,1780,2026-09-14,2026-09-18
2026-09-02T10:00:00,DEMO003,Seller Demo Sur,9006,2026-09-16,Probable Borrador,DEMO-9006-003,5420,2026-09-16,2026-09-22
2026-09-02T10:20:00,DEMO004,Seller Demo Hogar,7002,2026-09-14,AGENDA CYBER,DEMO-7002-001,850,2026-09-14,2026-09-18
2026-09-02T10:35:00,DEMO005,Seller Demo Tecno,7002,2026-09-17,AGENDA CYBER,DEMO-7002-002,2100,2026-09-16,2026-09-21
2026-09-02T11:10:00,DEMO006,Seller Demo Deportes,7002,2026-09-18,Probable Borrador,DEMO-7002-003,4650,2026-09-18,2026-09-25
2026-09-02T11:35:00,DEMO001,Seller Demo Norte,9006,2026-09-21,AGENDA CYBER,DEMO-9006-004,920,2026-09-21,2026-09-25
2026-09-02T12:00:00,DEMO007,Seller Demo Moda,9006,2026-09-22,AGENDA CYBER,DEMO-9006-005,6100,2026-09-21,2026-09-25
2026-09-02T12:25:00,DEMO008,Seller Demo Muebles,7002,2026-09-23,AGENDA CYBER,DEMO-7002-004,1400,2026-09-21,2026-09-25
2026-09-02T13:00:00,DEMO009,Seller Demo Accesorios,,2026-09-24,NO REVISADO/RECHAZADO,DEMO-PROBLEM-001,1250,2026-09-21,2026-09-25
2026-09-02T13:20:00,DEMO010,Seller Demo Outdoor,9006,2026-09-25,AGENDA CYBER,DEMO-PROBLEM-002,,2026-09-21,2026-09-25
2026-09-02T14:00:00,DEMO011,Seller Demo Kids,7002,2026-09-28,Probable Borrador,DEMO-PROBLEM-003,700,2026-09-30,2026-09-28
